Data Aset Tanah Pemda yang telah disertifikatkan 5 tahun terkahir;;;;;;;;;;;;;;
77;00123;Dinas Pekerjaan Umum dan Penataan Ruang;1.028,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;24-11-2022;HAK PAKAI;Tanah Ruas Jl. Dr. Sutomo;120.260848;-5.117.203;;Aktif;
78;00114;Dinas Pekerjaan Umum dan Penataan Ruang;118,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;16-12-2022;HAK PAKAI;Tanah Ruas Jl. Diponegoro I Bidang 2;120.249745;-5.134.463;;Aktif;
79;00118;Dinas Pekerjaan Umum dan Penataan Ruang;1.347,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;19-01-2023;HAK PAKAI;Tanah Ruas Jl. Diponegoro;120.250763;-5.133.023;;Aktif;
80;00113;Dinas Pekerjaan Umum dan Penataan Ruang;2.715,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;25-01-2021;HAK PAKAI;Tanah Ruas Jl. Sultan Hasanuddin;120.259011;-5.118.600;;Aktif;
81;00116;Dinas Pekerjaan Umum dan Penataan Ruang;1.133,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;26-01-2021;HAK PAKAI;Tanah Ruas Jl. Kelapa;120.258565;-5.117.695;;Aktif;
82;00115;Dinas Pekerjaan Umum dan Penataan Ruang;656,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;26-01-2021;HAK PAKAI;Tanah Ruas Jl. Cengkeh;120.258850;-5.117.113;;Aktif;
83;00114;Dinas Pekerjaan Umum dan Penataan Ruang;1.370,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;25-01-2021;HAK PAKAI;Tanah Ruas Jl. Yahya Mathan;120.256480;-5.120.096;;Aktif;
84;00125;Dinas Pekerjaan Umum dan Penataan Ruang;610,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;24-11-2022;HAK PAKAI;Tanah Ruas Jl. Dr. Sutomo;120.260595;-5.117.918;;Aktif;
85;00124;Dinas Pekerjaan Umum dan Penataan Ruang;715,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;24-11-2022;HAK PAKAI;Tanah Ruas Jl. Dr. Sutomo;120.260410;-5.118.525;;Aktif;
86;00130;Dinas Pekerjaan Umum dan Penataan Ruang;2.018,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;24-11-2022;HAK PAKAI;Tanah Ruas Jl. Hos Cokroaminoto;120.262949;-5.118.686;;Aktif;
87;00131;Dinas Pekerjaan Umum dan Penataan Ruang;1.117,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;01-12-2022;HAK PAKAI;Tanah Ruas Jl. Hos Cokroaminoto;120.264166;-5.118.005;;Aktif;
88;00122;Dinas Pekerjaan Umum dan Penataan Ruang;1.935,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;24-11-2022;HAK PAKAI;Tanah Ruas Jl. Anggrek;120.262018;-5.117.466;;Aktif;Penamaan Pada Peta Jl. Kelapa
89;00140;Dinas Pekerjaan Umum dan Penataan Ruang;1.047,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;19-01-2023;HAK PAKAI;Tanah Ruas Jl. Muh. Tahir Bidang 2;120.259587;-5.116.794;;Aktif;Penamaan Pada Peta Jl. Haji Agus Salim
90;00144;Dinas Pekerjaan Umum dan Penataan Ruang;704,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;26-07-2023;HAK PAKAI;Tanah Ruas Jl. Muh. Tahir Bidang 3;120.258990;-5.118.193;;Aktif;651
91;00146;Dinas Pekerjaan Umum dan Penataan Ruang;536,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;26-07-2023;HAK PAKAI;Tanah Ruas Jl. Markisa Bidang 1;120.260139;-5.116.968;;Aktif;
92;00035;Dinas Pekerjaan Umum dan Penataan Ruang;1.948,00;Kel. Lappa;Kel. Lappa;SINJAI UTARA;27-07-2023;HAK PAKAI;Tanah Ruas Jl. Titang Bidang 2;120.267908;-5.115.360;;Aktif;
93;00157;Dinas Pekerjaan Umum dan Penataan Ruang;2.066,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;03-08-2023;HAK PAKAI;Tanah Ruas Jl. Hos Cokroaminoto Bidang 5;120.265379;-5.116.418;;Aktif;
94;00158;Dinas Pekerjaan Umum dan Penataan Ruang;1.795,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;03-08-2023;HAK PAKAI;Tanah Ruas Jl. Hos Cokroaminoto Bidang 4;120.264892;-5.117.609;;Aktif;
95;00153;Dinas Pekerjaan Umum dan Penataan Ruang;1.897,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;01-08-2023;HAK PAKAI;Tanah Ruas Jl. DR. Samratulangi Bidang 1;120.260012;-5.119.694;;Aktif;Penamaan Pada Peta Jl. DR.Sutomo
96;00147;Dinas Pekerjaan Umum dan Penataan Ruang;3.007,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;26-07-2023;HAK PAKAI;Tanah Ruas Jl. DR. Samratulangi Bidang 2;120.259282;-5.121.971;;Aktif;Penamaan Pada Peta Jl. DR.Sutomo
97;00151;Dinas Pekerjaan Umum dan Penataan Ruang;3.026,00;Kel. Balangnipa ;Kel. Balangnipa ;SINJAI UTARA;28-07-2023;HAK PAKAI;Tanah Ruas Jl. Gunung Bawakaraeng Bidang 2;120.254841;-5.118.905;;Aktif;
98;00143;Dinas Pekerjaan Umum dan Penataan Ruang;4.032,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;27-01-2023;HAK PAKAI;Tanah Ruas Jl. Teratai Bidang 1;120.261765;-5.120.799;;Aktif;
99;00129;Dinas Pekerjaan Umum dan Penataan Ruang;2.234,00;Kel .Balangnipa;Kel .Balangnipa;SINJAI UTARA;24-11-2022;HAK PAKAI;Tanah Ruas Jl. DR. Samratulangi Bidang 4;120.258111;-5.125.461;;Aktif;Penamaan Pada Peta Jl. DR.Sutomo
100;00052;Dinas Pekerjaan Umum dan Penataan Ruang;1.899,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;01-08-2023;HAK PAKAI;Tanah Ruas Jl. Lompo Battang Bidang 2;120.256108;-5.115.946;;Aktif;
101;00125;Dinas Pekerjaan Umum dan Penataan Ruang;980,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;02-08-2023;HAK PAKAI;Tanah Ruas Jl. Diponegoro I Bidang 1;120.250157;-5.133.726;;Aktif;
102;00122;Dinas Pekerjaan Umum dan Penataan Ruang;2.049,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;01-08-2023;HAK PAKAI;Tanah Ruas Jl. Andi. Paddo Bidang 2;120.246822;-5.138.296;;Aktif;
103;00156;Dinas Pekerjaan Umum dan Penataan Ruang;382,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;03-08-2023;HAK PAKAI;Tanah Ruas Jl. Melati Bidang 2;120.261056;-5.120.191;;Aktif;
104;00121;Dinas Pekerjaan Umum dan Penataan Ruang;249,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;26-07-2023;HAK PAKAI;Tanah Ruas Jl. Andi. Paddo Bidang 1;120.247546;-5.137.109;;Aktif;
105;00126;Dinas Pekerjaan Umum dan Penataan Ruang;242,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;02-08-2023;HAK PAKAI;Tanah Ruas Jl. K. H. Dewantara I Bidang 2;120.247222;-5.132.679;;Aktif;
106;00110;Dinas Pekerjaan Umum dan Penataan Ruang;2.722,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;16-12-2022;HAK PAKAI;Tanah Ruas Jl. Letjend Sukawati I;120247620;-5.132.553;;Aktif;Penamaan Pada Peta Jl. veteran
107;00159;Dinas Pekerjaan Umum dan Penataan Ruang;1.259,00;Kel. Balangnipa;Kel. Bongki;SINJAI UTARA;14-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Lohe Bidang 1;120.257017;-5.115.545;;Aktif;
108;00055;Dinas Pekerjaan Umum dan Penataan Ruang;710,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;01-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Tanah Bidang 1;120.253604;-5.117.056;;Aktif;
109;00095;Dinas Pekerjaan Umum dan Penataan Ruang;885,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;26-01-2021;HAK PAKAI;Tanah Ruas Jl. Manimpahoi;120.248986;-5.123.303;;Aktif;
110;00043;Dinas Pekerjaan Umum dan Penataan Ruang;1.376,00;Kel. Biringere;Kel. Bongki;SINJAI UTARA;26-01-2021;HAK PAKAI;Tanah Ruas Jl. Manimpahoi;120.250092;-5.123.664;;Aktif;
111;00068;Dinas Pekerjaan Umum dan Penataan Ruang;2.463,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;14-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Lohe Bidang 2;120.255559;-5.114.817;;Aktif;
112;00050;Dinas Pekerjaan Umum dan Penataan Ruang;2.793,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;01-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Lohe Bidang 3;120.253738;-5.113.925;;Aktif;
113;00051;Dinas Pekerjaan Umum dan Penataan Ruang;3.281,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;01-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Lohe Bidang 4;120.252804;-5.112.247;;Aktif;
114;00066;Dinas Pekerjaan Umum dan Penataan Ruang;805,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;08-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Tanah Bidang 2;120.253553;-5.116.313;;Aktif;Penamaan Pada Peta Jl.Gunung Rinjani
115;00049;Dinas Pekerjaan Umum dan Penataan Ruang;781,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;01-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Tanah Bidang 3;120.253203;-5.115.626;;Aktif;Penamaan Pada Peta Jl.Gunung Rinjani
116;00056;Dinas Pekerjaan Umum dan Penataan Ruang;986,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;01-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Tanah Bidang 4;120.252663;-5.115.023;;Aktif;Penamaan Pada Peta Jl.Gunung Rinjani
117;00058;Dinas Pekerjaan Umum dan Penataan Ruang;1.412,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;02-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Tanah Bidang 5;120.252723;-5.114.067;;Aktif;Penamaan Pada Peta Jl.Gunung Rinjani
118;00020;Dinas Pekerjaan Umum dan Penataan Ruang;694,00;Mannanti;Tellulimpoe;SINJAI UTARA;26-01-2021;HAK PAKAI;Tanah Ruas Jalan Air Terjun 7 Tingkat;120.257040;-5.251.673;;Aktif;
119;00060;Dinas Pekerjaan Umum dan Penataan Ruang;317,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;02-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Bicara II Bidang 1;120.253531;-5.118.242;;Aktif;
120;00062;Dinas Pekerjaan Umum dan Penataan Ruang;1.249,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;02-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Bicara II Bidang 2;120.253709;-5.117.922;;Aktif;
121;00061;Dinas Pekerjaan Umum dan Penataan Ruang;36,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;02-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Bicara II Bidang 3;120.253404;-5.118.574;;Aktif;
122;00021;Dinas Lingkungan Hidup dan Kehutanan;5.360,00;Kel. Mannanti Kec.Tellulimpoe;Kel. Mannanti Kec.Tellulimpoe;TELLU LIMPOE;26-01-2021;HAK PAKAI;Tanah Pekuburan;120.219808;-5.272.543;;Aktif;
123;00007;Dinas Lingkungan Hidup dan Kehutanan;895,00;Desa Saotengah Kec. Tellulimpoe;Desa Saotengah Kec. Tellulimpoe;TELLU LIMPOE;04-03-2021;HAK PAKAI;Tanah Pekuburan;120.179551;-5.271.567;;Aktif;
124;00004;Dinas Lingkungan Hidup dan Kehutanan;2.873,00;Desa Lembang Lohe,Tellulimpe;Desa Lembang Lohe,Tellulimpe;TELLU LIMPOE;26-01-2021;HAK PAKAI;Makam Umum/Kuburan Umum;120.212278;-5.254.527;;Aktif;
125;00009;Dinas Pemuda dan Olahraga;46.600,00;Dusun Lita-litae, Desa Gareccing, Kec. Sinjai Selatan;Dusun Lita-litae, Desa Gareccing, Kec. Sinjai Selatan;SINJAI SELATAN;24-11-2022;HAK PAKAI;Tanah Lapangan Sirkuit;120.152939;-5.246.529;;Aktif;49.600
126;00100;Dinas Pemuda dan Olahraga;2.737,00;Jl. Persatuan Raya;Jl. Persatuan Raya;SINJAI UTARA;22-07-2021;HAK PAKAI;Lapangan Tenis,Taman Bermain,Bangunan Tribune Cakkempong;120.253172;-5.125.368;;Aktif;
127;0099;Dinas Pemberdayaan Masyarakat dan Desa;1.805,00;Jalan Baso Kalaka;Jalan Baso Kalaka;SINJAI UTARA;22-07-2021;HAK PAKAI;Tanah Bangunan Gedung PKK;120.251598;-5.126.210;;Aktif;
128;00101;Sekretariat DPRD;540,00;Jl. Persatuan Raya Kel. Biringere;Jl. Persatuan Raya Kel. Biringere;SINJAI UTARA;26-04-2022;HAK PAKAI;Rujab Ketua DPRD Baru;120.253151;-5.126.628;;Aktif;
129;20 /20.12.06010101.1;Kecamatan Bulupoddo;4.981,00;Lamatti Riattang Kec. Bulupoddo;Kec. Bulupoddo;BULUPODDO;22-10-2021;HAK PAKAI;Tanah Bangunan Serba Guna;120.156823;-5.105.290;;Aktif;
130;00022;Kelurahan Pasir Putih;594,00;Lingk. Paroppo Kel.Pasir Putih Kec.S.borong;Lingk. Paroppo Kel.Pasir Putih Kec.S.borong;SINJAI BORONG;04-03-2021;HAK PAKAI;Pesangrahan;120.055614;-5.326.840;;Aktif;
131;00015;Pengelola Barang Milik Daerah;5.749,00;Dusun Lappacimala Desa Alenangka Kec. Sinjai Selatan;Dusun Lappacimala Desa Alenangka Kec. Sinjai Selatan;SINJAI SELATAN;30-12-2021;HAK PAKAI;Tanah Bangunan Ex. Pasar Lama Bikeru;120.160884;-5.252.797;;Aktif;
132;00070;Dinas Pekerjaan Umum dan Penataan Ruang; 2.687,00 ;Kel. Bongki;Kel. Bongki;SINJAI UTARA;26/02/2024;HAK PAKAI;Tanah Ruas Jl. Bulu Saraung;120.253462;-5.118.447;;Aktif;
133;00160;Dinas Pekerjaan Umum dan Penataan Ruang; 88,00 ;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;26/02/2024;HAK PAKAI;Tanah Ruas Jl. K.H. Agus Salim;120.259115;-5.117.934;;Aktif;
134;00132;Dinas Pekerjaan Umum dan Penataan Ruang; 1.061,00 ;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;26/02/2024;HAK PAKAI;Tanah Ruas Jl. K.H. Agus Salim;120.258704;-5.123.748;;Aktif;Penamaan Pada Peta Jl.DR.Soetomo (1086)
135;20.12.0000018460;Dinas Perdagangan Perindustrian dan ESDM; 1.886,00 ;Kel. Sangiasseri Kec. Sinjai Selatan;Kel. Sangiasseri Kec. Sinjai Selatan;SINJAI SELATAN;18/12/2024;HAK PAKAI;Tanah Bangunan Pasar Udo;120.146179;-5.255.746;;Aktif;
136;20.12.000003826.0;SDN NO. 224 PALAE; 2.288,00 ;Palae;Palae;SINJAI SELATAN;31/12/2024;HAK PAKAI;Tanah Bangunan Sekolah;120.211261;-5.194.953;;Aktif;
137;20.12.000001847.0;TK Negeri Songing Sinjai Selatan; 182,00 ;Jl. Andi Parolai Dusun Tonasa Desa Songing Kec. Sinjai Selatan;Jl. Andi Parolai Dusun Tonasa Desa Songing Kec. Sinjai Selatan;SINJAI SELATAN;16/12/2024;HAK PAKAI;Tanah Bangunan Gedung Sekolah;120.115909;-5.257.154;;Aktif;
138;20.12.000003825.0;Dinas Perdagangan Perindustrian dan ESDM; 1.121,00 ;Sinjai Selatan;Sinjai Selatan;SINJAI SELATAN;31/12/2024;HAK PAKAI;Tanah Bangunan Pasar Labettang;120.206784;-5.189.337;;Aktif;
139;20.12.000001845.0;Pustu Songing; 181,00 ;Dusun Tonasa, Desa Songing            Kec. S. Selatan;Dusun Tonasa, Desa Songing            Kec. S. Selatan;SINJAI SELATAN;12/12/2024;HAK PAKAI;Bangunan Pustu Songing;120.113866;-5.256.405;;Aktif;
140;20.12.000001848.0;Pustu Songing; 697,00 ;Dusun Tonasa, Desa Songing           Kec. S. Selatan;Dusun Tonasa, Desa Songing           Kec. S. Selatan;SINJAI SELATAN;12/12/2024;HAK PAKAI;Bangunan Pustu Songing;120.113942;-5.256.125;;Aktif;
141;00016;TK Neg. Batulappa Sinjai Tengah;298;Desa Matunreng Tellue Sinjai Tengah;Desa Matunreng Tellue Sinjai Tengah;SINJAI TENGAH;28/12/2024;HAK PAKAI;Tanah Bangunan Pendidikan dan Latihan (Sekolah);120.167827;-5.128.392;;Aktif;
142;00011;TK Neg. Aruhu;550;Desa LamattiRiaja Sinjai Utara;Desa LamattiRiaja Sinjai Utara;SINJAI UTARA;28/12/2024;HAK PAKAI;Tanah Bangunan Pendidikan dan Latihan (Sekolah);120.193192;-5.100.342;;Aktif;
143;20.12.000004205.0;SD No. 157 Pabeheang;3383;Jl. Pers.Raya Desa Saukang Kec. Sinjai Timur;Jl. Pers.Raya Desa Saukang Kec. Sinjai Timur;SINJAI TIMUR;17/08/2025;HAK PAKAI;Tanah Bangunan SD Neg. 157 Pabeheang;120.223749;-5.143.288;;Aktif;
144;20.12.000005279.0;SD Neg. 45 Kelas Jauh Lempangeng;502;Dusun Puncak Desa Puncak Kec. Sinjai Selatan;Dusun Puncak Desa Puncak Kec. Sinjai Selatan;SINJAI SELATAN;20/08/2025;HAK PAKAI;Tanah Bangunan Sekolah SD Neg.45 Kelas Jauh Lempangeng;120.093649;-5.279.889;;Aktif;
145;20.12.000004138.0;SD Negeri No 167 Baru I;1834;Dusun Baru Kec. Sinjai Selatan;Dusun Baru Kec. Sinjai Selatan;SINJAI SELATAN;19/08/2025;HAK PAKAI;Tanah Bangunan SD Neg. 167 Baru I ;120.124662;-5.285.136;;Aktif;
146;20.12.000004200.0;TK Negeri XI Panreng Sinjai Utara;380;Lingkungan Onrong Datu Kel. Lamatti Rilau, Kec. Sinjai Utara;Lingkungan Onrong Datu Kel. Lamatti Rilau, Kec. Sinjai Utara;SINJAI UTARA;13/08/2025;HAK PAKAI;Tanah Bangunan TK Neg. IX Panreng;120.227328;-5.108.479;;Aktif;
147;20.12.000005681.0;TK Negeri Balimengko Sinjai Selatan;174;Desa Songing Kec. Sinjai Selatan;Desa Songing Kec. Sinjai Selatan;SINJAI SELATAN;14/08/2025;HAK PAKAI;Tanah Bangunan TK Neg. Balimengko Sinjai Selatan;120.130179;-5.248.138;;Aktif;
148;20.12.000005910.0;TK Neg. Manimpahoi;254;Desa Sotengnga Kec. Sinjai Tengah;Desa Sotengnga Kec. Sinjai Tengah;SINJAI TENGAH;03/2025;HAK PAKAI;TK Neg. Manimpahoi;120.109542;-5.192.638;;Aktif;
149;20.12.000004585.0;TK Negeri Mangopi Bulupoddo;286;Desa Tompobulu Kec. Bulupoddo;Desa Tompobulu Kec. Bulupoddo;BULUPODDO;15/08/2025;HAK PAKAI;Tanah Bangunan TK Negeri Mangopi;120.099881;-5.100.938;;Aktif;
150;20.12.000004139.0;Dinas Pekerjaan Umum dan Penataan Ruang;1210;Jalan Persatuan Raya Kel.Biringere, Kec. Sinjai Utara;Jalan Persatuan Raya Kel.Biringere, Kec. Sinjai Utara;SINJAI UTARA;18/08/2025;HAK PAKAI;Tanah Bangunan Tugu Patung Kuda Mangottong;120.242507;-5.136.850;;Aktif;
151;20.12.000005731.0;Perkuburan Bulu Tellue;2988;Desa Bulu Tellue Kec. Bulupoddo;Desa Bulu Tellue Kec. Bulupoddo;BULUPODDO;05/09/2025;HAK PAKAI;Perkuburan Bulu Tellue;120.141026;-5.102.071;;Aktif;
