WKT,Provinsi,Kode_Prov,Kab_Kota,Kode_Kab,KECAMATAN,Kode_Kec,KELURAHAN,Kode_Kel,KODE_RT_RW,LUAS_KUMUH,skor_kumuh,SUMBR_DATA,SK_KUMUH,Kawasan
"POLYGON ((120.26852312954797 -5.107901914927337, 120.26855493756793 -5.1077076232225265, 120.26856493103567 -5.107651112938769, 120.26950295903093 -5.1079367965441485, 120.269539131086 -5.107954736632552, 120.26983350711977 -5.107281291748803, 120.26985270674227 -5.107218720872553, 120.26999272934808 -5.107262352904318, 120.2703657130362 -5.107362923256669, 120.27028895884398 -5.107582080466781, 120.27001610383763 -5.108161905675498, 120.26984423297979 -5.108544194711358, 120.2696388329218 -5.109075503373668, 120.26959502339002 -5.109062917530899, 120.26954290437838 -5.109062492001508, 120.26929993445262 -5.10900407591502, 120.2690843249064 -5.108960121626974, 120.26891516135214 -5.108928319558458, 120.26887707615847 -5.108912616560539, 120.26887863302248 -5.10882655119053, 120.26890300410702 -5.108702328767871, 120.26892598544893 -5.108624722756049, 120.26885080402883 -5.108572120014824, 120.2685951816332 -5.108473883220474, 120.26844964724694 -5.108419486843865, 120.26844962131952 -5.108367825025578, 120.268475468249 -5.10817666407029, 120.26852312954797 -5.107901914927337))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT03_RW01 LAPPAE,2.21669711086,17.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.26870682383775 -5.1069671856285135, 120.26870832820495 -5.106960729502899, 120.26872169396736 -5.106903369132068, 120.26913439963332 -5.107017697348691, 120.26968695049635 -5.107170675676784, 120.26985270674227 -5.107218720872553, 120.26983350711977 -5.107281291748803, 120.26958418038267 -5.107851677396559, 120.269539131086 -5.107954736632552, 120.26950295903093 -5.107936796544114, 120.26856493103567 -5.107651112938786, 120.26859884445925 -5.1074837790275085, 120.2686816217734 -5.107075342485901, 120.26870682383775 -5.1069671856285135))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW01 LAPPAE,1.05076546356,17.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.2676963411608 -5.106910239529969, 120.26772314862531 -5.106701485320477, 120.26773572474183 -5.106619436364716, 120.26841563883872 -5.106820775680509, 120.26872169396736 -5.106903369132068, 120.2686816217734 -5.107075342485901, 120.2685610707098 -5.107670160351591, 120.26852312954797 -5.107901914927337, 120.268475468249 -5.10817666407029, 120.26844962131952 -5.108367825025578, 120.26839992769949 -5.108349706370696, 120.26831154180137 -5.10831583275441, 120.26821745281636 -5.108292718514155, 120.26816611653302 -5.1083092360359, 120.26805609294514 -5.10840478938685, 120.26804025487228 -5.108468889298693, 120.2680135600249 -5.108578756381652, 120.2679782931362 -5.108571334531154, 120.26783546777867 -5.108541277183654, 120.26785181350733 -5.108484822652554, 120.26735568497125 -5.108326564205556, 120.26755452135285 -5.107515964211154, 120.2676963411608 -5.106910239529969))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW01 LAPPAE,2.11625997938,17.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.26780097991646 -5.10375597047133, 120.26793701696778 -5.103545196242126, 120.26801622825224 -5.103445054349316, 120.26806756770826 -5.1034840052403165, 120.26806729443206 -5.10354855804328, 120.2683307989575 -5.103825109844991, 120.2682095432214 -5.104079940587138, 120.26812004109205 -5.104268917923597, 120.26802030565143 -5.10450949482457, 120.26796793351865 -5.1047144100047035, 120.2678952527233 -5.104985227181924, 120.26782068549386 -5.10536362620106, 120.2677902496378 -5.105793856254481, 120.26771814479389 -5.106604059810909, 120.26765012563669 -5.106596971253124, 120.26723929414065 -5.106503037381816, 120.2666305155849 -5.106339776259892, 120.26622413659238 -5.106355258995922, 120.26608520489086 -5.106430835585867, 120.2659446542126 -5.106473133923281, 120.26569531284045 -5.106568184674826, 120.26521995845255 -5.106655099130165, 120.26470035727817 -5.106717437506135, 120.26465141603285 -5.106450406525182, 120.2647626255037 -5.106421981046597, 120.26475778069471 -5.106196597175681, 120.26475442175516 -5.10604939034504, 120.2647544217568 -5.1059673634561, 120.26473837349786 -5.105849709843378, 120.26499480691474 -5.105769034911872, 120.26501784728184 -5.105921766536671, 120.26527906882023 -5.105873532725771, 120.26534077530269 -5.106205068423815, 120.26538926132793 -5.106220016441085, 120.26573523210037 -5.106209979613187, 120.2660912796914 -5.106046044734814, 120.26691416381104 -5.106026583360824, 120.26700568095632 -5.105459256447098, 120.26733967021899 -5.1054935579909895, 120.26733959908628 -5.10547951870223, 120.26734490422615 -5.105413383940759, 120.26736532080946 -5.105197638767888, 120.26739454823233 -5.104530481528105, 120.26752554687432 -5.104513753437397, 120.26761959718141 -5.104527135910013, 120.26763303293956 -5.10442676735873, 120.26765654551632 -5.1043498181254865, 120.26768341703264 -5.104239412687732, 120.26778082627922 -5.10416915467199, 120.26792861961897 -5.103980127115215, 120.26794373484691 -5.103874740046135, 120.26780097991646 -5.10375597047133))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW03 LAPPAE,3.42593212746,17.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.270902612806 -5.109427791291488, 120.27105030960125 -5.1090688656778225, 120.27126723721724 -5.10851988338015, 120.27143251489039 -5.108152241340036, 120.27146192235033 -5.1080697590834685, 120.27157158789306 -5.108113530956114, 120.27195068352744 -5.1082774298660105, 120.27196762754515 -5.108284755468354, 120.27191902251228 -5.108361526351371, 120.271796054915 -5.108604722374939, 120.2717473986715 -5.10882500854849, 120.27168016458953 -5.109287609266557, 120.27168418204351 -5.109341284059628, 120.271508816076 -5.109363611376294, 120.27127462742685 -5.109393427820897, 120.2711785772755 -5.10941106275747, 120.27102262953456 -5.109439694935952, 120.270902612806 -5.109427791291488))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW03 LENGKONG,0.933563901866,21.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.26977660285705 -5.109115082657276, 120.26977720661459 -5.109113553298631, 120.26963897586279 -5.109075133628541, 120.26984423297979 -5.108544194711358, 120.27001610383763 -5.108161905675498, 120.27028895884398 -5.107582080466781, 120.27029400545868 -5.10756767081316, 120.27037419302329 -5.107601339733537, 120.27044729698036 -5.107632034399963, 120.27073139824587 -5.107751321885976, 120.27129307367315 -5.10800236483249, 120.2713071001779 -5.108007963372564, 120.27134077298936 -5.108021403539561, 120.27146192235033 -5.1080697590834685, 120.27143251489039 -5.108152241340036, 120.27126723721724 -5.10851988338015, 120.27122324327676 -5.108631219712643, 120.27105030960125 -5.1090688656778225, 120.270902612806 -5.109427791291488, 120.27087689424198 -5.109418899695212, 120.27085242895356 -5.109430755405134, 120.27077876166135 -5.1094100073701005, 120.27049041853009 -5.109328796846341, 120.27015324320195 -5.109223285758126, 120.26977660285705 -5.109115082657276))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT03_RW03 LENGKONG,2.49260742521,18.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.27029400545868 -5.10756767081316, 120.2703657130362 -5.107362923256669, 120.27038148819234 -5.107324895784474, 120.27073643096789 -5.107454274889889, 120.27076896584718 -5.107400196238992, 120.27108390444162 -5.106864458942181, 120.27141653621551 -5.107019540837292, 120.27174916798936 -5.107438966683863, 120.2722799633732 -5.107791425166288, 120.27196762754514 -5.108284755468354, 120.27157158789306 -5.108113530956114, 120.27129307367315 -5.10800236483249, 120.27073139824587 -5.107751321885976, 120.27029400545868 -5.10756767081316))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW03 LENGKONG,1.54549715803,18.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.26517200064202 -5.117177391849489, 120.26543656856447 -5.116249376750611, 120.26557765509148 -5.115685865566922, 120.2658701293774 -5.115756249011976, 120.26589734886741 -5.115623638194189, 120.26625570377449 -5.11570167554012, 120.26628586876616 -5.115706504182857, 120.26628832395647 -5.115643239011083, 120.26665531755997 -5.115695014173622, 120.26671483263279 -5.11571798161039, 120.2668040311828 -5.116050695275713, 120.26688742592806 -5.116346325489534, 120.26685257315661 -5.11637925402155, 120.26676971951824 -5.116433225932603, 120.26673089778063 -5.116707876269247, 120.26653193238721 -5.116652936294657, 120.26651863988965 -5.116716533598059, 120.2664508816318 -5.116698395944357, 120.26635072306567 -5.116671585304152, 120.26633404029316 -5.116741254964553, 120.26631902440442 -5.116836420913724, 120.26620517399047 -5.116812161078988, 120.26600728372073 -5.116781449608756, 120.26596699955371 -5.116912940161243, 120.26594123077143 -5.1169063636887495, 120.2658298007303 -5.1168779255229415, 120.26581262515863 -5.116941347935437, 120.26577262955601 -5.1170890353546445, 120.2657521796368 -5.117087238658254, 120.26563533322205 -5.117076972711626, 120.26562047745593 -5.117134406835106, 120.2655839374755 -5.117275674565133, 120.2655547611916 -5.117265032060499, 120.26517200064202 -5.117177391849489))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW02 BARU,2.08825167764,18.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.26515248719191 -5.107499215069467, 120.26523807794756 -5.107505162807407, 120.26544906911263 -5.107523006020889, 120.26561626965854 -5.107564640183754, 120.26585711806392 -5.107677647183646, 120.26657966328021 -5.108020633219174, 120.2672713560148 -5.10835866262953, 120.26714893733177 -5.108970932893641, 120.267131781191 -5.109056738334963, 120.266980411426 -5.109623559412582, 120.26645320183601 -5.109369766879529, 120.2666127492721 -5.108925294206079, 120.26608618228897 -5.108692538968184, 120.2659241616788 -5.1091611527629075, 120.26564685717288 -5.109061843906299, 120.26553311507065 -5.1088799259620865, 120.26549106812463 -5.108794951283275, 120.26548795234366 -5.108407025760909, 120.26525426877129 -5.107832895556918, 120.26515248719191 -5.107499215069467))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW03 BARU,2.73095227485,17.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.27352435607169 -5.108900613131599, 120.27260694945501 -5.108560250930331, 120.27196762754515 -5.108284755468337, 120.2722799633732 -5.107791425166288, 120.27232685029871 -5.107715646608921, 120.27237196790631 -5.107699785979503, 120.27271167695199 -5.107842531630181, 120.2730712908245 -5.107972060063447, 120.27355431462384 -5.108192787027163, 120.27378388362737 -5.108309098210997, 120.27352435607169 -5.108900613131599))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT03_RW02 Kokoe,1.37983759808,21.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.2758328533472 -5.116245962577048, 120.2760460567162 -5.11628419459431, 120.27614869473724 -5.116184458892308, 120.27622504741147 -5.116162018357217, 120.27643032345358 -5.11598249404816, 120.27656800860377 -5.116051062366599, 120.27658803553473 -5.116113397195166, 120.27674699929904 -5.116205652730285, 120.27680582840865 -5.1161981725522585, 120.27713376940278 -5.11627297432862, 120.27710623237276 -5.1164238245509805, 120.2768997046474 -5.116392657152581, 120.2767119521699 -5.1163390492237815, 120.27652920642504 -5.116595868562863, 120.27649415929592 -5.116777886090266, 120.2763677392944 -5.1170683660096445, 120.27619375533187 -5.117028471779602, 120.27614118463815 -5.117079586261407, 120.27612991948946 -5.117240409848216, 120.27626009454056 -5.117253292356004, 120.27628512820424 -5.117326431750154, 120.27642865454263 -5.11737131273788, 120.27630682404606 -5.117705426658616, 120.27596302839832 -5.117728698268501, 120.27593298800193 -5.117620651501219, 120.27567764463245 -5.117602366661881, 120.27563925968148 -5.117264928169267, 120.27552410482859 -5.117246643319762, 120.2755825167105 -5.11711698709916, 120.2755992058196 -5.11693413853826, 120.27542063235205 -5.116917515939224, 120.27540894997568 -5.116811131295173, 120.27559753690866 -5.116824429376635, 120.2755708343341 -5.116546831868539, 120.2757560834453 -5.116538520564036, 120.27574940780164 -5.116407201938702, 120.27517029571536 -5.115984987441694, 120.27524873452818 -5.115848681914674, 120.27546736185762 -5.115955066718739, 120.27551242245222 -5.115875278117344, 120.27563258403782 -5.115928470519372, 120.27573438760346 -5.115627600937179, 120.27542230126299 -5.115494619861296, 120.27544566601571 -5.115331718005678, 120.27561255710687 -5.115140557612054, 120.27583952899083 -5.114987629256044, 120.2760781832512 -5.115034172672607, 120.2758328533472 -5.116245962577048))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW02 TALIBUNGING,2.28850467325,18.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.2762741694744 -5.114132879431604, 120.27661740512426 -5.114199116348478, 120.27659402074698 -5.114315693031344, 120.27689708334151 -5.114374363227743, 120.27714646690225 -5.1144959250091, 120.277231095986 -5.1143317905014225, 120.27693798367554 -5.114175613855975, 120.2768164728093 -5.1140392939217785, 120.27680780838962 -5.113832682960136, 120.27676441933593 -5.113717735108348, 120.27644364509872 -5.113693851627704, 120.27644972454287 -5.113471018486821, 120.27684901147848 -5.1136094023558085, 120.27687654850853 -5.113831315164302, 120.27683524296349 -5.113879936499703, 120.27701798870831 -5.114126783222513, 120.27729085564233 -5.114038267489417, 120.27732590277144 -5.113922324327557, 120.27726206692911 -5.11379890093863, 120.27740350712884 -5.113719112068494, 120.27769389762747 -5.113999619771127, 120.27757749109136 -5.114175404535465, 120.27755120574449 -5.114255193348758, 120.27763006178506 -5.114297581151762, 120.27759376297273 -5.114447185139972, 120.27785286139176 -5.114458405437679, 120.27783658951039 -5.114776313790937, 120.2781632788213 -5.114767586897069, 120.27813824515762 -5.114657877364018, 120.27809068119667 -5.114353682651454, 120.27815326535584 -5.114252699948478, 120.2784624311022 -5.114316281652222, 120.27869524417432 -5.113923571028337, 120.27883918774047 -5.11401084007669, 120.27880163724498 -5.114091875610902, 120.27895684595973 -5.114160444131862, 120.2787916237795 -5.114455912038195, 120.27880226308658 -5.114497676478066, 120.27881978665118 -5.114831791899143, 120.27620170265436 -5.114789347793161, 120.27623067998577 -5.114243973047507, 120.2762741694744 -5.114132879431604))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW01 TALIBUNGING,1.95303579568,30.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.27689720128093 -5.117812642282766, 120.27686048524089 -5.118061980874125, 120.27682376920082 -5.118216570751945, 120.27672196563526 -5.118258127164343, 120.27667356721882 -5.118467571441742, 120.27663059276283 -5.118669535501437, 120.27641864107703 -5.118624654604798, 120.27624340543136 -5.118632965882197, 120.27610989255842 -5.118676184522895, 120.27599807552735 -5.118654575202908, 120.27589627196176 -5.118576449193785, 120.27581115750525 -5.118443468730782, 120.27570601611785 -5.118385289769518, 120.27565928661231 -5.1182622828054445, 120.27564593532503 -5.118125977763551, 120.2751953293789 -5.118041202661885, 120.27506682323872 -5.11839526330611, 120.27493664818763 -5.118353706902619, 120.27486321610753 -5.118177507721835, 120.27484152026567 -5.118011282035079, 120.27464458877812 -5.117879963712018, 120.27459952818351 -5.117771916970287, 120.27450273135062 -5.117748645361993, 120.27444598837965 -5.117878301454585, 120.27455446758889 -5.118057825231728, 120.27456448105434 -5.118207428340861, 120.27445433293421 -5.118225713162901, 120.27426908382301 -5.118239011214983, 120.27423737451572 -5.117891599513878, 120.2743525293686 -5.117728698268485, 120.27409384817732 -5.1176140024688, 120.27418230045562 -5.117524240524253, 120.27452108937065 -5.1177187247215015, 120.27462456184719 -5.117743658588675, 120.27497670204949 -5.117565796981612, 120.2754139567083 -5.117695453111269, 120.27559586799768 -5.117795188577733, 120.27593966364545 -5.11787996371201, 120.27603171765801 -5.11786927902157, 120.27615328424213 -5.117828433729774, 120.27629681058052 -5.117848380820166, 120.27630348622415 -5.117914871116977, 120.27667899117925 -5.1180013084925084, 120.27675742999206 -5.117790201804794, 120.27689720128093 -5.117812642282766))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW02 TALIBUNGING,1.74620835834,16.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.27880507937401 -5.114922489245457, 120.278757515413 -5.115301485577664, 120.27901035541612 -5.115371300667014, 120.2789690498711 -5.115646820856012, 120.27881884788904 -5.115952261650892, 120.27866739422382 -5.115932314501379, 120.27862859204511 -5.11602082997255, 120.27898907680202 -5.116175420343547, 120.27890771739507 -5.116398578958389, 120.27865112234241 -5.116313803627853, 120.27855098768774 -5.1164634071447646, 120.27872622333341 -5.116555662629446, 120.27860105501506 -5.1167601206832005, 120.27831191619966 -5.116610517235637, 120.27833444649696 -5.116505794801536, 120.27805782451333 -5.116464653840601, 120.27791888767997 -5.116408552525963, 120.27778871262885 -5.116326270588927, 120.27785254847124 -5.116070697838246, 120.27800275045324 -5.116170433557969, 120.27804781104791 -5.115669261409163, 120.27827561738734 -5.115705415632043, 120.27827186233779 -5.115381274250583, 120.27834195659607 -5.115209229912198, 120.27840579243843 -5.114895061870613, 120.27880507937401 -5.114922489245457))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT03_RW01 TALIBUNGING,1.46503798958,17.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.27802037832438 -5.11771456907688, 120.27806251832492 -5.117750307619756, 120.27814346050413 -5.118175014336854, 120.27816515634599 -5.118387783153688, 120.27797323159118 -5.118390276537844, 120.27779298921266 -5.11876428405067, 120.27789646168921 -5.118838254399533, 120.27791982644199 -5.118877317389293, 120.27782219515363 -5.119041049469385, 120.27781218168819 -5.11915906952142, 120.2777554387172 -5.1192471689826835, 120.27769702683528 -5.119238026586316, 120.27764946287434 -5.119253817998144, 120.27750343316953 -5.119150758250864, 120.27746337930768 -5.119219741793206, 120.27741122584169 -5.119193145729568, 120.27733987990024 -5.119304101175249, 120.27719468465092 -5.119490273565212, 120.27706784742165 -5.1194063297710874, 120.27704698603527 -5.119299945540933, 120.27717924722499 -5.119159485084942, 120.27727103732515 -5.119205612634548, 120.27749800920908 -5.118814982830021, 120.27733111811794 -5.118667042118378, 120.27711749752126 -5.118563982276558, 120.27708912603573 -5.118655406330612, 120.2769506064301 -5.118655406330606, 120.27693391732096 -5.118522425884023, 120.27667356721882 -5.118467571441742, 120.27672196563526 -5.118258127164343, 120.27682376920082 -5.118216570751945, 120.27686048524089 -5.118061980874125, 120.27689720128093 -5.117812642282783, 120.2769773090047 -5.117769423583731, 120.27711582861036 -5.1178126422827726, 120.2770524099957 -5.117992166078344, 120.27735281395981 -5.1180752789296005, 120.27740769088268 -5.117852915986883, 120.27756309673464 -5.117985517049775, 120.27779674426225 -5.118116835351174, 120.27802037832438 -5.11771456907688))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT03_RW02 TALIBUNGING,1.45662671995,16.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.2694055645062 -5.119105773497197, 120.26947565876448 -5.118938716924352, 120.2695076313044 -5.118892234458251, 120.26972162555197 -5.1190366008630095, 120.26976135606054 -5.119114235208223, 120.26971507486056 -5.119231669537616, 120.26975588295245 -5.119392511460336, 120.26980500284522 -5.11942410913388, 120.26983989857096 -5.119392512289186, 120.27001763758304 -5.119295270452379, 120.27004827293534 -5.119268954437403, 120.27006566033025 -5.119217385375421, 120.27042249244741 -5.1194168733455845, 120.27058655303297 -5.119528032346631, 120.27088783819357 -5.119668467335457, 120.27119789864211 -5.119661986423373, 120.27138387191886 -5.119534942922992, 120.27140541082075 -5.119522342881016, 120.27153833292894 -5.119444584744944, 120.27158382906677 -5.119512201936759, 120.27152299777956 -5.119686955960008, 120.27124108475172 -5.12002053077316, 120.27055792132343 -5.119869329540137, 120.2705028685819 -5.120471668576147, 120.2704071146607 -5.120680632888519, 120.27034330985326 -5.12069556894, 120.26937302074346 -5.120379890102337, 120.2694263427608 -5.120180940872235, 120.2694539037982 -5.120089840833521, 120.26877231798568 -5.119886097049063, 120.2687521782088 -5.119965519013258, 120.26873169226322 -5.120019335182033, 120.26854440647587 -5.120045777578642, 120.26825651934364 -5.120103125263012, 120.26794899422659 -5.120042333288339, 120.26794930106712 -5.119970089811936, 120.2679194028652 -5.119935533382262, 120.26773088731942 -5.11985582915358, 120.26764211163405 -5.119872664432764, 120.26762777967654 -5.119909717268707, 120.26760126634808 -5.120057544564856, 120.26752649595879 -5.120035777063359, 120.267351143987 -5.119984727752045, 120.26741918658922 -5.119810027574368, 120.26710083228896 -5.119646565915952, 120.26678784627163 -5.119514930922462, 120.26684837576201 -5.1193139708067745, 120.26708369220052 -5.119383785458274, 120.26722513240027 -5.118989831253497, 120.2672000987366 -5.118881369135535, 120.26712124269604 -5.118837734944964, 120.26706742031917 -5.118815294502942, 120.26711248091374 -5.118504868307441, 120.26721136388524 -5.118334071501123, 120.26746295220516 -5.118137094105784, 120.2675430599289 -5.118036111999831, 120.26765320804913 -5.118043592156403, 120.26780215834795 -5.118395159415152, 120.26779589993203 -5.118578423122405, 120.26780466171432 -5.118785373912317, 120.26780466171427 -5.118871395606521, 120.26784471557617 -5.119048425723341, 120.26783720547708 -5.119092059899558, 120.26773581913919 -5.1192354293147, 120.26770202369322 -5.119318957567839, 120.26776460785238 -5.1193837854582736, 120.26773957418874 -5.119568295571992, 120.26794359854767 -5.119636863506077, 120.26811007241113 -5.119179328243046, 120.26835915736466 -5.119256623051614, 120.26831284508685 -5.11946856038197, 120.26846179538576 -5.1195022210103645, 120.26865580627916 -5.119601956195093, 120.26869836350741 -5.119644343643907, 120.26897123044147 -5.119786466245915, 120.26901378766969 -5.119618163161157, 120.26946689698222 -5.119732858601485, 120.26954074629002 -5.119198028600815, 120.2694055645062 -5.119105773497197))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW01 TAPPE'E,4.48625320679,18.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
"POLYGON ((120.26419575810273 -5.120515681517915, 120.26435075312855 -5.120015795643416, 120.26436982524231 -5.119954285497276, 120.26472033741335 -5.120040090405917, 120.26515488100041 -5.1201323232737925, 120.26529351709385 -5.1201659100184145, 120.26532851722487 -5.120172931602688, 120.26537764000543 -5.120173271391541, 120.26544227778383 -5.120173718493997, 120.265502949521 -5.12037337733304, 120.26541308872295 -5.120396504401448, 120.2653093300672 -5.120423208278754, 120.26528785274174 -5.120488654766727, 120.26525282809855 -5.120478382687013, 120.26509923411558 -5.120433336391422, 120.26507691419776 -5.120487383094923, 120.2650341823165 -5.120590856426998, 120.26498238720427 -5.1205679543982585, 120.264952380496 -5.1206146742275855, 120.26467960431961 -5.12053482842311, 120.26465807767757 -5.120586954126947, 120.26464057318378 -5.120629340385179, 120.26449834058465 -5.120587463653173, 120.26434597612457 -5.12051683489769, 120.2643293507749 -5.120509128191435, 120.26428573904778 -5.12063356122948, 120.26417075452372 -5.120596323003564, 120.26419575810273 -5.120515681517915))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW01 TAPPEE,0.681562786385,28.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Minapolitan Lappa
