WKT,LEFT_FID,RIGHT_FID
"LINESTRING (120.33275995120908 -5.28822601229366, 120.33274432734795 -5.287892640190049, 120.33274879130826 -5.287732621516537, 120.33282914259406 -5.287545933011793, 120.33296975734432 -5.287190335704193, 120.33306126853086 -5.28689919025662, 120.33310814011426 -5.286656939359944, 120.33312376397541 -5.2862724492100925, 120.33313715585633 -5.285965745913644, 120.3331639396183 -5.285690157314769, 120.33325098684462 -5.285385676220209, 120.33327553862638 -5.285116754837003, 120.33326884268587 -5.284785603551854, 120.33333580209073 -5.28437444231382, 120.3334049934758 -5.284367774832053, 120.33358131990846 -5.284643364019257, 120.33373086257933 -5.285038967638276, 120.33382460574616 -5.285221211917055, 120.33394513267486 -5.285481243295174, 120.33408797940521 -5.285745719542121, 120.33421073831403 -5.285963523425406, 120.33439376068729 -5.2862146645426416, 120.33457901504075 -5.286388018528741, 120.33469730998934 -5.2866880541593035, 120.33457008712003 -5.2869725322524745, 120.3343602809849 -5.287239230346128, 120.33413038702822 -5.287477036049435, 120.33383130168657 -5.287863747932573, 120.3333625858527 -5.288519379596377, 120.33325321882474 -5.28849493232648, 120.33321973912234 -5.2883704734828045, 120.33313045991582 -5.28818378517044, 120.33290726189966 -5.2882015650122165, 120.33275995120908 -5.28822601229366)",-1,45
"LINESTRING (120.30969255237491 -5.227588620966615, 120.31013815158826 -5.227536268931019, 120.31078402011102 -5.227483916891072, 120.31099930961867 -5.228064774994199, 120.31110445100599 -5.2282866476896155, 120.31123712942349 -5.2286281819098095, 120.31132975397907 -5.228952265304241, 120.3113748145737 -5.229206546003938, 120.3114399020993 -5.22961040337344, 120.31164768150772 -5.230016753426779, 120.31122961932445 -5.230081569975263, 120.31116453179887 -5.229804853125118, 120.31111446447152 -5.22973754360254, 120.31098428942042 -5.229587966859726, 120.31084410090389 -5.229415953561365, 120.31073645615007 -5.229136743469163, 120.31060753278217 -5.228811413695731, 120.31057248565298 -5.228666822631099, 120.31048737119652 -5.228557132835541, 120.3103822298091 -5.228472372525926, 120.31018821891561 -5.228366422122719, 120.30991535198159 -5.228255485798948, 120.30974387138546 -5.228178204303345, 120.30970006247404 -5.228127098792943, 120.30968128722628 -5.228071007374322, 120.30967878385988 -5.227955085093215, 120.30969255237491 -5.227588620966615)",-1,41
"LINESTRING (120.31075690477819 -5.224233626913642, 120.31138929915737 -5.224235108719253, 120.3115574416628 -5.224529987971825, 120.3116839205387 -5.225045655878955, 120.31205145327193 -5.225041210467805, 120.31218239610806 -5.225856201990074, 120.31208418898092 -5.225881392620189, 120.31192348640931 -5.2258206387457244, 120.31193836627705 -5.225713949000775, 120.31178659162607 -5.225656158714618, 120.31174790396997 -5.225771739281513, 120.31160952119993 -5.225739139636574, 120.31158868938508 -5.225783593697451, 120.31158868938508 -5.225848792981023, 120.31150238615216 -5.225885838025477, 120.31132829169952 -5.225885838025477, 120.31104408622562 -5.225903619646009, 120.3108357680772 -5.225925846670941, 120.31038937204497 -5.2259717825201095, 120.30972572994352 -5.2259510372983025, 120.3096349627503 -5.225835456764448, 120.3097599536394 -5.225696167374825, 120.31012302241231 -5.22518198180648, 120.31043549963489 -5.224761149499877, 120.31074351289726 -5.224281044692323, 120.31075690477819 -5.224233626913642)",-1,46
"LINESTRING (120.28309928824741 -5.182773864341315, 120.28272829499093 -5.182818669389609, 120.28273258392717 -5.182931060684013, 120.28259649000125 -5.182968730256186, 120.28260410656944 -5.183418254382198, 120.28263935620865 -5.183540342418145, 120.28275390576835 -5.183521707577541, 120.28300746581988 -5.183341088225444, 120.2831342151303 -5.183257951088625, 120.28319487613976 -5.18320127243592, 120.28348841509052 -5.183413882325348, 120.28361826864295 -5.183945773146246, 120.28336275036212 -5.184012520198043, 120.28306953266292 -5.183445170033061, 120.28292082940104 -5.183449341727251, 120.28268625524166 -5.183655840558264, 120.28244749225796 -5.183664183943891, 120.28243283137301 -5.184183559486109, 120.28233648841469 -5.184254478201631, 120.28229250575974 -5.1844526333941525, 120.28237418783311 -5.184469320144356, 120.28244539784585 -5.185070042858329, 120.28212285837658 -5.185072128700139, 120.28210819749164 -5.185307828774797, 120.28183801832584 -5.185230652653748, 120.28183801832584 -5.184690419543057, 120.28200347688478 -5.184692505386111, 120.28200347688478 -5.184565268949524, 120.28184220715015 -5.184490178581467, 120.2818275462651 -5.1844046589848185, 120.28190713392637 -5.184287851712075, 120.28189456745353 -5.1837789054859345, 120.28213751926154 -5.183714244255698, 120.2823071666447 -5.182782913221538, 120.28189561465959 -5.182792299543391, 120.28179194125879 -5.182867390113331, 120.28105051936203 -5.1830238287718915, 120.28092171301554 -5.182541997579258, 120.28090809933664 -5.182500280575629, 120.28109869084118 -5.182446048466692, 120.28127043263655 -5.182350099339648, 120.28124739410298 -5.182158201041685, 120.2815280453295 -5.182093539645536, 120.2815594615115 -5.18228335211217, 120.28211029190383 -5.182181145406493, 120.28207887572174 -5.181997590464936, 120.28206002601247 -5.181743116480473, 120.2821019142553 -5.181586677504655, 120.28230297782048 -5.181636737981131, 120.28238465989385 -5.181674283335867, 120.28252498550711 -5.181670111629864, 120.28254592962848 -5.181597106770906, 120.28255640168912 -5.1814260667826, 120.28253755197996 -5.18127171358269, 120.28250194697354 -5.181144476457054, 120.2824872860886 -5.181025582726371, 120.28234067723899 -5.180946320226785, 120.28235952694817 -5.180764850782514, 120.28229460017195 -5.180623012559836, 120.2822212957471 -5.1804853460191795, 120.28219616280143 -5.180272588579247, 120.28212704720089 -5.180134921962208, 120.28199091041193 -5.180026457333729, 120.2820998198431 -5.179776154274028, 120.28230716664478 -5.1797907552885585, 120.28251032462217 -5.1798491593433065, 120.28253545756785 -5.179676033022383, 120.28272814348449 -5.179569654175052, 120.28285799703701 -5.179536280415385, 120.28316168679693 -5.1800160280415435, 120.28323289680966 -5.180276760294398, 120.2831512147363 -5.180301790585038, 120.28329154034955 -5.180796138621411, 120.28269672730238 -5.1808545425833445, 120.2827909758486 -5.181142390602365, 120.28283705291555 -5.181365577019535, 120.28281820320639 -5.1817055711298226, 120.28292292381325 -5.181895383712985, 120.28311142090557 -5.182531568328639, 120.28308419354778 -5.182702608017629, 120.28309928824741 -5.182773864341315)",-1,44
"LINESTRING (120.28151570415919 -5.17745882158571, 120.28131723666048 -5.177098090231234, 120.28108035901961 -5.176724090768901, 120.28095344437584 -5.1766231273606005, 120.28088405110284 -5.176454987447763, 120.2806463434563 -5.1764984370772575, 120.28056486993877 -5.176143754451144, 120.2803940290726 -5.175942184187819, 120.28021555588482 -5.175852475605567, 120.28010626115555 -5.175981114978232, 120.28029905487512 -5.176068016044309, 120.28029945549572 -5.176309021242241, 120.28037963704486 -5.176296454869054, 120.28042593846524 -5.176621192946905, 120.28033799114985 -5.176644378151328, 120.28040643854143 -5.176828135915, 120.28047934989341 -5.176820726328722, 120.2805180375496 -5.1768829668502585, 120.28062814857088 -5.176921496693841, 120.28069064401534 -5.177128965041853, 120.28056862909993 -5.177191205533014, 120.28076801932772 -5.1774075652878375, 120.2808736663886 -5.177638744122224, 120.28094508975377 -5.177625406884066, 120.28109984037836 -5.177920307972948, 120.28117742204594 -5.178218152295664, 120.28096849102403 -5.17812410887941, 120.28089443935781 -5.178041543395005, 120.28082867300216 -5.177805995376759, 120.2807892148274 -5.177664284035875, 120.28063352959211 -5.177487644163457, 120.28045697341292 -5.177284136437941, 120.28033176365037 -5.177119103904347, 120.280166637929 -5.176919470771744, 120.2800192792227 -5.17658028504193, 120.27967734861966 -5.176562224390733, 120.27979413198379 -5.176344289753108, 120.27986257937546 -5.176375410038124, 120.27991168293899 -5.176341325916376, 120.27994293066126 -5.1762227724353, 120.2799146589125 -5.17613978498541, 120.27962152551805 -5.175924906716099, 120.27979710795739 -5.175658161176931, 120.27965426122704 -5.175465511550812, 120.27981496379874 -5.175278789549574, 120.2800351858413 -5.175068356751898, 120.2804347102902 -5.175226922317198, 120.28074421153927 -5.175434391221121, 120.2809168180051 -5.175558872530826, 120.28110132836515 -5.175647787736957, 120.28123227120129 -5.175795979719553, 120.28126798288388 -5.176003448436782, 120.28128286275161 -5.176101255094221, 120.28132155040771 -5.176199061736473, 120.28137511793165 -5.176299832200535, 120.28147927700581 -5.176388747302572, 120.28153284452965 -5.176504336916541, 120.28158046010647 -5.176717733071421, 120.28165188347164 -5.176895563145554, 120.28168164320721 -5.177008188833175, 120.281794730202 -5.177304572126105, 120.28180365812271 -5.1773579211040515, 120.28172330683682 -5.177440908394158, 120.28162509970967 -5.1773845955913815, 120.28154102845696 -5.177437203604705, 120.28151570415919 -5.17745882158571)",-1,43
"LINESTRING (120.27547080461419 -5.169044221701456, 120.27568307252392 -5.169075932389753, 120.27569497641815 -5.168688653157248, 120.27569894438285 -5.168496989367875, 120.27589932660186 -5.168331012431236, 120.27633778670466 -5.168332988347378, 120.27636357847543 -5.168696556817374, 120.27639135422858 -5.168809183964183, 120.27642706591118 -5.16914311345704, 120.27639135422858 -5.169342680703058, 120.2763536585636 -5.169648947146375, 120.2762782672337 -5.169801092356672, 120.27622469970987 -5.1700322739699915, 120.2761352832503 -5.170360214032386, 120.27585131421188 -5.170395453799579, 120.27578128390037 -5.170265087825297, 120.2756961388983 -5.170100227935113, 120.27562924339566 -5.169682967609178, 120.27566903415968 -5.169300594855096, 120.2754747634962 -5.1692251637264635, 120.27547080461419 -5.169044221701456)",-1,42
"LINESTRING (120.27212207217511 -5.149672902545153, 120.27226491890563 -5.1499452164404085, 120.27219684351071 -5.149989675840836, 120.27228054276678 -5.150218641703639, 120.27237316994346 -5.150309783431848, 120.27240888162605 -5.150418708894898, 120.27225599098492 -5.150504293174117, 120.27223925113373 -5.150558755891297, 120.27228165875682 -5.150806616769608, 120.27240888162605 -5.150822177538992, 120.2723887938046 -5.150916653630742, 120.27239214177486 -5.151096713908008, 120.27248142098128 -5.151093935200433, 120.2725070887531 -5.151195080149027, 120.27258520805879 -5.151240650944787, 120.2726822991958 -5.151238427979242, 120.27268118320573 -5.15130067101228, 120.27282291394603 -5.151294002116178, 120.27284634973765 -5.151434048919666, 120.2727291707792 -5.15145294412098, 120.27272135884863 -5.151621889425216, 120.27271801087838 -5.151764159120263, 120.27273363473951 -5.151968671751004, 120.2726889951363 -5.152073151004431, 120.27280282612458 -5.152564425561288, 120.2728619735988 -5.152828957857712, 120.27294567285485 -5.1530167979508805, 120.27301709622003 -5.153112385195844, 120.27332176151214 -5.15346917001833, 120.27361861487358 -5.153422487903357, 120.27363870269502 -5.153322454788499, 120.2737503017031 -5.153313562955273, 120.27375922962374 -5.153384697617345, 120.27368278430326 -5.153433602692979, 120.27365879051648 -5.153476394630972, 120.27365990650662 -5.153548640753656, 120.27377541147995 -5.153608104863825, 120.27379382531626 -5.15369202149578, 120.27396233981844 -5.1538954220278415, 120.2739489479375 -5.1540399141696485, 120.27401144338205 -5.154126609438834, 120.27410630253894 -5.154186073494913, 120.2741286223405 -5.154219417823012, 120.27412750635045 -5.154275547437924, 120.27428430295681 -5.154405590289167, 120.27441989575158 -5.1544672772733096, 120.27439645995987 -5.154552861007276, 120.27459622218441 -5.1546251070074804, 120.27463416584712 -5.1546128807618645, 120.27463862980743 -5.1545184052197195, 120.27489642351613 -5.154530631467112, 120.27495333901021 -5.154487283861518, 120.27510622965134 -5.154522851127894, 120.27509506975052 -5.154642890637072, 120.27522452459985 -5.154717359580439, 120.27532384771705 -5.154704021859822, 120.27536067538969 -5.154736254684054, 120.27551802999112 -5.154721805487193, 120.27557382949516 -5.154656228358843, 120.27563632493963 -5.1546262184843465, 120.27562516503889 -5.154568421684911, 120.27572002419569 -5.154521739650851, 120.27582046330294 -5.1546151037156855, 120.27589746661849 -5.154669566080437, 120.27591532245982 -5.154809612139897, 120.2761050407736 -5.15483184167038, 120.27611173671411 -5.154887415492991, 120.27621105983131 -5.154907422067876, 120.27617311616852 -5.155043022170401, 120.27601799354728 -5.155036353313645, 120.27578251964025 -5.155034130361334, 120.27575350389816 -5.1550897041662695, 120.27561735310832 -5.155160282891445, 120.27557661947034 -5.155327004258557, 120.27574401798246 -5.155393137055396, 120.27559447531159 -5.155499838696163, 120.27541591689865 -5.155809940238119, 120.27551524001585 -5.155884409044618, 120.275476180363 -5.156005559770869, 120.27531436180135 -5.155955543418831, 120.2751971828428 -5.156134490793616, 120.27543042476974 -5.1562256316732595, 120.27538132120621 -5.156401244550655, 120.27524070645596 -5.156363454441924, 120.27507832989923 -5.1567213489111845, 120.2749985366085 -5.1566696654055315, 120.27473795292462 -5.1565368443342345, 120.27469554530153 -5.156605199951845, 120.27450024703738 -5.156988658158011, 120.27451140693822 -5.157052012100192, 120.27457167040257 -5.1571209233986375, 120.27444556352349 -5.157296536028409, 120.27454042268037 -5.157364335828228, 120.27423464139821 -5.157471037137793, 120.2742067416462 -5.157515496011443, 120.27428262897159 -5.157577738429418, 120.27428262897159 -5.157728898561829, 120.27415429011232 -5.157804478614534, 120.27406947486621 -5.157778914774245, 120.27396010783833 -5.157925628974412, 120.27429936882288 -5.158033441660568, 120.27424245332878 -5.158170152566098, 120.2743295005551 -5.1582034966849415, 120.27423129342796 -5.158472472512774, 120.27453149475966 -5.15862474390205, 120.27398131164983 -5.159282733718638, 120.27393444006643 -5.159277176375075, 120.27359071512156 -5.159566158176053, 120.27346014428208 -5.1597628880190465, 120.27310637542645 -5.159980735683754, 120.27306619978356 -5.160467558255786, 120.27298361651755 -5.161358953869287, 120.27296018072585 -5.161792425098953, 120.27273475072957 -5.161723514307924, 120.27250262479279 -5.162176991634191, 120.27225933895518 -5.162092520392101, 120.27239995370533 -5.161590138562009, 120.27269457508658 -5.161630151288652, 120.27260306389995 -5.1610944251271755, 120.27202944499851 -5.161465654507123, 120.27185311856576 -5.160974386838, 120.27208301252234 -5.16089436129936, 120.27196471757375 -5.160576481976496, 120.27198368940515 -5.160205252076165, 120.2718620464863 -5.160197471806492, 120.27176941930962 -5.160220812615244, 120.27170357589489 -5.160174130996851, 120.27168125609325 -5.160047423729417, 120.27179508708143 -5.160025194381633, 120.27181294292278 -5.159832910490867, 120.27165670431148 -5.159847359571377, 120.27161652866857 -5.159755107743956, 120.27161429668838 -5.159609505434813, 120.27182298683354 -5.159611728371137, 120.27182521881366 -5.159720652238751, 120.2720249810382 -5.159721763706647, 120.27202386504806 -5.159593944880723, 120.27213658004618 -5.15954059440664, 120.27241111360607 -5.159517253572841, 120.27255619231663 -5.159559489366726, 120.2725003928125 -5.159770668294137, 120.27263431162223 -5.159775114165542, 120.27263989157268 -5.15942944757126, 120.27281063805498 -5.159431670508117, 120.27283295785662 -5.1591804785892075, 120.27268787914616 -5.159158249211047, 120.27258744003882 -5.159087115195747, 120.27237540192348 -5.159060439938011, 120.27237763390369 -5.159220491467907, 120.27214773994702 -5.159216045592594, 120.27215443588753 -5.1587603432106315, 120.27277269439227 -5.1586669797553535, 120.27275483855102 -5.158311309323847, 120.27297357260687 -5.158049002252938, 120.27297134062658 -5.157870055417722, 120.27301374824968 -5.157591076089639, 120.27294009290439 -5.157568846655789, 120.27297915255724 -5.157299870444974, 120.2728642055789 -5.157262080389711, 120.27291219315237 -5.156967540175892, 120.27305392389258 -5.156987546685319, 120.27311195537682 -5.156710789915729, 120.27290772919197 -5.156619649105807, 120.27305057592233 -5.1566352097328165, 120.27309298354542 -5.156605199951845, 120.27296129671589 -5.156532954176883, 120.27301040027942 -5.156389574076113, 120.27299031245798 -5.1562561972092285, 120.27277827434256 -5.156208403825045, 120.2728195659756 -5.15588274183265, 120.27279947815414 -5.155707128811813, 120.2725450324157 -5.154922426998685, 120.27250374078275 -5.154779046534384, 120.2725171326637 -5.154644557852326, 120.27250374078275 -5.154583426623803, 120.27245128924898 -5.154464498580478, 120.27238098187385 -5.15430444585163, 120.27228165875665 -5.154315560625798, 120.27211760821478 -5.154169957069031, 120.27202163306785 -5.15396655662481, 120.27193904980184 -5.153769824985653, 120.27187990232756 -5.153570870328193, 120.271802899012 -5.153289666152959, 120.27166674822216 -5.152733926310103, 120.27160871673802 -5.152387144401936, 120.27153506139263 -5.151889200818059, 120.27143239030518 -5.151455722827046, 120.27139444664247 -5.151384587948969, 120.27119580040808 -5.151393479809195, 120.27113107298332 -5.151373473123553, 120.27102840189596 -5.150902204347106, 120.2710819694199 -5.150695468405673, 120.27102616991576 -5.150479840524079, 120.27104848971742 -5.150457610841451, 120.27118240852705 -5.150446495999781, 120.27114223288416 -5.150284219289934, 120.27107750545949 -5.150264212569387, 120.27105518565784 -5.150093043934743, 120.27126722377326 -5.149995233265668, 120.27125829585263 -5.149899645551835, 120.27110428922146 -5.149848517233811, 120.27114446486435 -5.1497351457314915, 120.27130963139628 -5.149799611882398, 120.2713631989202 -5.14988186178955, 120.27161764465863 -5.14985074020433, 120.27212207217511 -5.149672902545153)",-1,47
"LINESTRING (120.26412248793936 -5.141492598127127, 120.2642560008123 -5.141601194918597, 120.2644050901871 -5.14166546648027, 120.26451190048539 -5.141829469746349, 120.26463651250015 -5.142084339602946, 120.26471884543848 -5.14238575078003, 120.26480117837673 -5.142660566728872, 120.26446739619448 -5.1428445160476715, 120.26439618932892 -5.142698243099695, 120.26425377559771 -5.142538672572592, 120.26413138879755 -5.142401264586714, 120.26398897506643 -5.142172989963954, 120.26398229942284 -5.142059960751475, 120.2640001011392 -5.141964661596064, 120.26398674985192 -5.141849416086573, 120.2638999664845 -5.141561302221807, 120.26412248793936 -5.141492598127127)",-1,50
"LINESTRING (120.2639770824001 -5.139639178958142, 120.26369234005334 -5.1395988655108065, 120.2635117519216 -5.139448899546626, 120.26306792692236 -5.13929397799495, 120.26276164280598 -5.139165163597224, 120.26282859460858 -5.138932587417931, 120.26302302488152 -5.138662862321184, 120.26341188542608 -5.138834775034316, 120.26353687631608 -5.138451429382294, 120.26360829968152 -5.138409933189679, 120.26389002517841 -5.138380293050802, 120.26396144854341 -5.138593702022985, 120.26399319226111 -5.138773518786686, 120.26398327234892 -5.13892962340836, 120.26397335243692 -5.139022495760124, 120.2639770824001 -5.139639178958142)",-1,49
"LINESTRING (120.24153325624138 -5.136201163685226, 120.24126734981509 -5.1362908375679455, 120.24140424074949 -5.136618973760297, 120.24153267389157 -5.136696035933206, 120.24169442171062 -5.136629800415425, 120.2417846716918 -5.136869829785227, 120.24224696001427 -5.136781732755645, 120.24240717546184 -5.137089241202262, 120.24234542575809 -5.137275408405871, 120.24233040555985 -5.137481522032304, 120.24247969732671 -5.138019308992246, 120.24061810296458 -5.138241981004453, 120.24054467088452 -5.138241981004453, 120.24051963722084 -5.137472379897077, 120.24088345979958 -5.13743581135475, 120.2413307279239 -5.137366829780697, 120.24112545188169 -5.136143444479367, 120.24148092990585 -5.136061996189832, 120.24153325624138 -5.136201163685226)",-1,11
"LINESTRING (120.24678208385784 -5.135417724413547, 120.24705342343958 -5.134881825928226, 120.24730376007624 -5.134323322057075, 120.24785674270562 -5.134526907072233, 120.24759248166394 -5.135077967052635, 120.24739054344367 -5.1349765720721345, 120.24711016641052 -5.135541724217039, 120.24730376007624 -5.135707945340749, 120.24720863215425 -5.135932343789016, 120.24695495769575 -5.135781082621425, 120.24678208385784 -5.135417724413547)",-1,12
